,id,name,readable
0,1,note,یادداشت
1,2,pol,سیاست
2,3,sport,ورزش
3,4,intl,بین‌الملل
4,5,eco,اقتصادی
5,6,soc,اجتماعی
6,7,cul,فرهنگی
7,8,shop,بازار
8,9,tech,تکنولوژی
